cnt_date,feature,hitcount
2022-03-23,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-03-24,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-03-25,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-03-26,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-03-27,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-03-28,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-03-29,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-03-30,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-03-31,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-02,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-03,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-04,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-05,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-06,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-07,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-08,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-09,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-10,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-04-11,WLS_WATER_RESTRICTION_LOC_SVW,0
