cnt_date,feature,hitcount
2022-02-05,WLS_WATER_LICENCED_WRK_LINE_SP,139954
2022-02-06,WLS_WATER_LICENCED_WRK_LINE_SP,139954
2022-02-07,WLS_WATER_LICENCED_WRK_LINE_SP,139954
2022-02-08,WLS_WATER_LICENCED_WRK_LINE_SP,139954
2022-02-09,WLS_WATER_LICENCED_WRK_LINE_SP,140038
2022-02-10,WLS_WATER_LICENCED_WRK_LINE_SP,140064
2022-02-11,WLS_WATER_LICENCED_WRK_LINE_SP,140069
2022-02-12,WLS_WATER_LICENCED_WRK_LINE_SP,140069
2022-02-13,WLS_WATER_LICENCED_WRK_LINE_SP,140069
2022-02-14,WLS_WATER_LICENCED_WRK_LINE_SP,140069
2022-02-15,WLS_WATER_LICENCED_WRK_LINE_SP,140071
2022-02-16,WLS_WATER_LICENCED_WRK_LINE_SP,140079
2022-02-17,WLS_WATER_LICENCED_WRK_LINE_SP,140082
2022-02-18,WLS_WATER_LICENCED_WRK_LINE_SP,140090
2022-02-19,WLS_WATER_LICENCED_WRK_LINE_SP,140098
2022-02-20,WLS_WATER_LICENCED_WRK_LINE_SP,140098
2022-02-21,WLS_WATER_LICENCED_WRK_LINE_SP,140098
2022-02-22,WLS_WATER_LICENCED_WRK_LINE_SP,140098
2022-02-23,WLS_WATER_LICENCED_WRK_LINE_SP,140108
2022-02-24,WLS_WATER_LICENCED_WRK_LINE_SP,140118
2022-02-25,WLS_WATER_LICENCED_WRK_LINE_SP,140121
2022-02-26,WLS_WATER_LICENCED_WRK_LINE_SP,140128
2022-02-28,WLS_WATER_LICENCED_WRK_LINE_SP,140128
2022-03-01,WLS_WATER_LICENCED_WRK_LINE_SP,140128
2022-03-02,WLS_WATER_LICENCED_WRK_LINE_SP,140132
2022-03-03,WLS_WATER_LICENCED_WRK_LINE_SP,140132
2022-03-04,WLS_WATER_LICENCED_WRK_LINE_SP,140135
2022-03-05,WLS_WATER_LICENCED_WRK_LINE_SP,140136
2022-03-06,WLS_WATER_LICENCED_WRK_LINE_SP,140136
2022-03-07,WLS_WATER_LICENCED_WRK_LINE_SP,140136
2022-03-08,WLS_WATER_LICENCED_WRK_LINE_SP,140136
2022-03-09,WLS_WATER_LICENCED_WRK_LINE_SP,140136
2022-03-10,WLS_WATER_LICENCED_WRK_LINE_SP,140153
2022-03-11,WLS_WATER_LICENCED_WRK_LINE_SP,140152
2022-03-12,WLS_WATER_LICENCED_WRK_LINE_SP,140153
2022-03-13,WLS_WATER_LICENCED_WRK_LINE_SP,140153
2022-03-14,WLS_WATER_LICENCED_WRK_LINE_SP,140154
2022-03-15,WLS_WATER_LICENCED_WRK_LINE_SP,140154
2022-03-16,WLS_WATER_LICENCED_WRK_LINE_SP,140157
2022-03-18,WLS_WATER_LICENCED_WRK_LINE_SP,140157
2022-03-19,WLS_WATER_LICENCED_WRK_LINE_SP,140157
2022-03-20,WLS_WATER_LICENCED_WRK_LINE_SP,140157
2022-03-21,WLS_WATER_LICENCED_WRK_LINE_SP,140161
2022-03-22,WLS_WATER_LICENCED_WRK_LINE_SP,140164
2022-03-23,WLS_WATER_LICENCED_WRK_LINE_SP,140164
2022-03-24,WLS_WATER_LICENCED_WRK_LINE_SP,140168
2022-03-25,WLS_WATER_LICENCED_WRK_LINE_SP,140172
2022-03-26,WLS_WATER_LICENCED_WRK_LINE_SP,140187
2022-03-27,WLS_WATER_LICENCED_WRK_LINE_SP,140187
2022-03-28,WLS_WATER_LICENCED_WRK_LINE_SP,140187
2022-03-29,WLS_WATER_LICENCED_WRK_LINE_SP,140192
2022-03-30,WLS_WATER_LICENCED_WRK_LINE_SP,140192
